left_tag,right_tag,replicate,r_fixed_column_row_shuffle
S0_set_1,S0_set_2,0,-0.011463842158913903
S0_set_1,S0_set_2,1,0.03065380669156573
S0_set_1,S0_set_2,2,0.013613360753600125
S0_set_1,S0_set_2,3,-0.02119127746381806
S0_set_1,S0_set_2,4,0.012726426982862658
S0_set_1,S0_set_2,5,0.017344964810138464
S0_set_1,S0_set_2,6,0.012014865716810262
S0_set_1,S0_set_2,7,-0.06091425286561563
S0_set_1,S0_set_2,8,0.03229038435818525
S0_set_1,S0_set_2,9,0.0572294152119152
S0_set_1,S0_set_2,10,-0.015565269593892189
S0_set_1,S0_set_2,11,0.050713123115022955
S0_set_1,S0_set_2,12,-0.017277379750019445
S0_set_1,S0_set_2,13,-0.04390288685754635
S0_set_1,S0_set_2,14,0.02423256232135001
S0_set_1,S0_set_2,15,0.04146070394156874
S0_set_1,S0_set_2,16,-0.017039147366610843
S0_set_1,S0_set_2,17,0.009213941917117698
S0_set_1,S0_set_2,18,0.026453285717592666
S0_set_1,S0_set_2,19,0.03669837630947283
S0_set_1,S0_set_2,20,0.01671259107768745
S0_set_1,S0_set_2,21,0.01541776856295177
S0_set_1,S0_set_2,22,-0.012999725828154443
S0_set_1,S0_set_2,23,-0.007699753468601463
S0_set_1,S0_set_2,24,0.0020615647511153536
S0_set_1,S0_set_2,25,0.006626508829619708
S0_set_1,S0_set_2,26,0.012153185154849238
S0_set_1,S0_set_2,27,0.04733923784031689
S0_set_1,S0_set_2,28,0.015398148576450938
S0_set_1,S0_set_2,29,0.07291950680655872
S0_set_1,S0_set_2,30,0.0026193441352723944
S0_set_1,S0_set_2,31,0.06420209986448526
S0_set_1,S0_set_2,32,-0.023171287570778226
S0_set_1,S0_set_2,33,-0.006463089163731615
S0_set_1,S0_set_2,34,0.002395384378490516
S0_set_1,S0_set_2,35,-0.018460517849981286
S0_set_1,S0_set_2,36,0.027461933986765472
S0_set_1,S0_set_2,37,0.018576661865183662
S0_set_1,S0_set_2,38,0.039465649288648916
S0_set_1,S0_set_2,39,-0.03186289427923742
S0_set_1,S0_set_2,40,0.014257305899968245
S0_set_1,S0_set_2,41,0.05166660713793918
