left_tag,right_tag,left_date,right_date,day_gap,pair_group,n_fixed_columns,flattened_r_actual,rmse_fixed_source_normalized_units,null_r_mean,null_r_sd,r_axis_1,r_axis_2,r_axis_3,r_axis_4
S0_set_1,S0_set_2,1925-01-01,1925-01-01,0,same_date_different_recording,176,0.3740197121417582,1.2870320081710815,0.003890949801333503,0.03156223749191376,0.7958462873427519,0.5788838837459311,0.233992112727084,0.0708331147213064
S0_set_1,S1_set_1,1925-01-01,1925-01-08,7,different_date,176,0.4252717680738467,1.141235589981079,-0.0041683691817020335,0.03971757823983126,0.7516859712985136,0.5051938543823586,0.0962649708075138,0.1907343286484574
S0_set_1,S1_set_2,1925-01-01,1925-01-08,7,different_date,176,0.3972513434046391,1.1904741525650024,-0.006141728420387231,0.03675465655078805,0.7714809312604038,0.3546104787087669,0.14673434346026656,0.27195096314533196
S0_set_1,S1_set_3,1925-01-01,1925-01-08,7,different_date,176,0.30246552037874014,1.280968189239502,-0.01036514620307158,0.032713948343803805,0.6577255199343521,0.3447341498048458,0.17272719539044273,0.0475295996563318
S0_set_1,S2_set_1,1925-01-01,1925-01-13,12,different_date,176,0.4726179815379801,1.1243661642074585,-0.004187908161533427,0.03843978311224604,0.720229432701962,0.48558140707337966,0.1853389874028073,0.2615705383700434
S0_set_1,S2_set_2,1925-01-01,1925-01-13,12,different_date,176,0.32121710341708326,1.2781494855880737,-0.014996584557605976,0.03893212495065034,0.6541289876009446,0.3615961240639276,0.21797406642230108,0.17217768470315392
S0_set_1,S3_set_1,1925-01-01,1925-01-15,14,different_date,176,0.3521467228002905,1.2648875713348389,0.009127245008210329,0.03568435983791883,0.6886429967510971,0.4737680847290134,0.15346874769153737,0.0980296523070617
S0_set_1,S3_set_2,1925-01-01,1925-01-15,14,different_date,176,0.3813099229552084,1.2992252111434937,-0.003996860934386956,0.032187106198387994,0.6939530710783033,0.4690069196902834,0.267607038617074,0.2764685146698891
S0_set_1,S4_set_1,1925-01-01,1925-01-19,18,different_date,176,0.38126492440043347,1.2183326482772827,0.0060856457245197695,0.037071574582442444,0.6866206572032802,0.3620537987791972,0.2084001377846933,0.23638371212793918
S0_set_1,S4_set_2,1925-01-01,1925-01-19,18,different_date,176,0.4483738920956505,1.1145679950714111,0.0024153453089373195,0.03425396512172928,0.7366859500657487,0.46523409132899546,0.2699346328938189,0.2507520502914392
S0_set_1,S5_set_1,1925-01-01,1925-01-20,19,different_date,176,0.4680960618102107,1.1093497276306152,-0.0003447782100638791,0.04251674130168328,0.6938515887905256,0.35723034955039185,0.27990266866143004,0.3297743384663171
S0_set_1,S5_set_2,1925-01-01,1925-01-20,19,different_date,176,0.4149949894885538,1.1338779926300049,0.005516387010602109,0.03725667851064297,0.6603702556023948,0.3061606994668334,0.30082801980334056,0.22406413190803692
S0_set_1,S6_set_1,1925-01-01,1925-01-26,25,different_date,176,0.5017980034243693,1.0584965944290161,0.014794814178514294,0.03708988856465526,0.7292923939998813,0.5254425012432349,0.3784023404810524,0.19693584487602098
S0_set_1,S6_set_2,1925-01-01,1925-01-26,25,different_date,176,0.3860824058480388,1.1712672710418701,-0.003991904183927129,0.0345738671354851,0.6901584781511301,0.4645970274380645,0.2527007005371571,0.13461283185032522
S0_set_1,S7_set_1,1925-01-01,1925-01-27,26,different_date,176,0.2879344155935986,1.4368358850479126,0.03865148703098252,0.03999269434229054,0.11618583961817103,0.5207532801151387,0.2777431508562548,0.26258221592116043
S0_set_1,S7_set_2,1925-01-01,1925-01-27,26,different_date,176,0.3308481281748774,1.169898509979248,0.018017563680814495,0.03826587186378651,0.599876399206939,0.4351253618119953,0.1271148102341581,0.09813911597651778
