left_tag,right_tag,replicate,shuffle_seed,flattened_r_electrode_row_shuffle
Run1_20201019,Run2_20201019,0,20260914,0.005102319044512845
Run1_20201019,Run2_20201019,1,20260914,0.014268491249357586
Run1_20201019,Run2_20201019,2,20260914,-0.05151903158406521
Run1_20201019,Run2_20201019,3,20260914,0.15705548424292942
Run1_20201019,Run2_20201019,4,20260914,-0.09773524448515877
Run1_20201019,Run2_20201019,5,20260914,0.10823422472459053
Run1_20201019,Run2_20201019,6,20260914,-0.0226541322868745
Run1_20201019,Run2_20201019,7,20260914,-0.028124478843194488
Run1_20201019,Run2_20201019,8,20260914,-0.036550821563142856
Run1_20201019,Run2_20201019,9,20260914,-0.029452307506638107
Run1_20201019,Run2_20201019,10,20260914,0.13473328808982832
Run1_20201019,Run2_20201019,11,20260914,0.08993104221371387
Run1_20201019,Run2_20201019,12,20260914,0.12085211528649949
Run1_20201019,Run2_20201019,13,20260914,-0.08144265090987855
Run1_20201019,Run2_20201019,14,20260914,0.022286902183642328
Run1_20201019,Run2_20201019,15,20260914,0.004582253131835455
Run1_20201019,Run2_20201019,16,20260914,-0.09216332597718926
Run1_20201019,Run2_20201019,17,20260914,-0.08316658440426286
Run1_20201019,Run2_20201019,18,20260914,0.009717257625155266
Run1_20201019,Run2_20201019,19,20260914,-0.09797713959066344
Run1_20201019,Run2_20201019,20,20260914,0.07005113310700194
Run1_20201019,Run2_20201019,21,20260914,0.008566921178776086
Run1_20201019,Run2_20201019,22,20260914,-0.04942392695969192
Run1_20201019,Run2_20201019,23,20260914,-0.06775724492641444
Run1_20201019,Run2_20201019,24,20260914,-0.056810535804566784
Run1_20201019,Run2_20201019,25,20260914,-0.0894010087140104
Run1_20201019,Run2_20201019,26,20260914,-0.08915390219134951
Run1_20201019,Run2_20201019,27,20260914,0.009893846020131955
Run1_20201019,Run2_20201019,28,20260914,0.13906570644302838
Run1_20201019,Run2_20201019,29,20260914,-0.06547662654308496
Run1_20201019,Run2_20201019,30,20260914,-0.03954658652548655
Run1_20201019,Run2_20201019,31,20260914,-0.04066481648729606
Run1_20201019,Run2_20201019,32,20260914,-0.06153314364759947
Run1_20201019,Run2_20201019,33,20260914,-0.003229265183748902
Run1_20201019,Run2_20201019,34,20260914,-0.012366115631370979
Run1_20201019,Run2_20201019,35,20260914,-0.04682035754153898
Run1_20201019,Run2_20201019,36,20260914,0.05468495599836389
Run1_20201019,Run2_20201019,37,20260914,-0.06683403370574745
Run1_20201019,Run2_20201019,38,20260914,0.01061515334437428
Run1_20201019,Run2_20201019,39,20260914,-0.012460672147974411
Run1_20201019,Run2_20201019,40,20260914,-0.1064244829572504
Run1_20201019,Run2_20201019,41,20260914,-0.01234628751289031
Run1_20201019,Run2_20201019,42,20260914,-0.014956161846567376
Run1_20201019,Run2_20201019,43,20260914,-0.0942670864821547
Run1_20201019,Run2_20201019,44,20260914,0.04797414108320693
Run1_20201019,Run2_20201019,45,20260914,0.038045149609144756
Run1_20201019,Run2_20201019,46,20260914,-0.05169383822013279
