tag,date,run,source_or_public,channel_id,unit_mask,feature_index,feature,T_source_normalized,raw_coefficient_reconstructed
Run1_20201019,2020-10-19,Run1,source_held_in,0,True,0,m_cos_phi,-0.001007432583719492,-0.012765959833396644
Run1_20201019,2020-10-19,Run1,source_held_in,0,True,1,m_sin_phi,0.008086580783128738,0.010673499693139077
Run1_20201019,2020-10-19,Run1,source_held_in,0,True,2,modulation_magnitude,-0.3767632842063904,0.016640113207598173
Run1_20201019,2020-10-19,Run1,source_held_in,0,True,3,baseline_rate,-0.41586631536483765,0.024807508464116168
Run1_20201019,2020-10-19,Run1,source_held_in,1,True,0,m_cos_phi,0.06004231050610542,-0.007928868874507888
Run1_20201019,2020-10-19,Run1,source_held_in,1,True,1,m_sin_phi,-0.12074945867061615,-0.0015600857695374781
Run1_20201019,2020-10-19,Run1,source_held_in,1,True,2,modulation_magnitude,-0.45436230301856995,0.008080893097702324
Run1_20201019,2020-10-19,Run1,source_held_in,1,True,3,baseline_rate,-0.4815828502178192,0.00617821137537522
Run1_20201019,2020-10-19,Run1,source_held_in,2,True,0,m_cos_phi,-0.23571501672267914,-0.031362302352820004
Run1_20201019,2020-10-19,Run1,source_held_in,2,True,1,m_sin_phi,0.41670697927474976,0.04947392066179912
Run1_20201019,2020-10-19,Run1,source_held_in,2,True,2,modulation_magnitude,0.0034418718423694372,0.05857697874213843
Run1_20201019,2020-10-19,Run1,source_held_in,2,True,3,baseline_rate,-0.27993130683898926,0.06334231046263739
Run1_20201019,2020-10-19,Run1,source_held_in,3,True,0,m_cos_phi,0.014384339563548565,-0.01154643951886751
Run1_20201019,2020-10-19,Run1,source_held_in,3,True,1,m_sin_phi,1.8500639200210571,0.18557787656954083
Run1_20201019,2020-10-19,Run1,source_held_in,3,True,2,modulation_magnitude,1.1581021547317505,0.18593672716016396
Run1_20201019,2020-10-19,Run1,source_held_in,3,True,3,baseline_rate,0.9321656823158264,0.40694708149704617
Run1_20201019,2020-10-19,Run1,source_held_in,4,True,0,m_cos_phi,0.1163201630115509,-0.003469864171748771
Run1_20201019,2020-10-19,Run1,source_held_in,4,True,1,m_sin_phi,-0.07577776163816452,0.0027101875280642895
Run1_20201019,2020-10-19,Run1,source_held_in,4,True,2,modulation_magnitude,-0.4877079427242279,0.004402848267820891
Run1_20201019,2020-10-19,Run1,source_held_in,4,True,3,baseline_rate,-0.45054104924201965,0.014977928734810853
Run1_20201019,2020-10-19,Run1,source_held_in,5,True,0,m_cos_phi,0.1358267068862915,-0.0019243224177589724
Run1_20201019,2020-10-19,Run1,source_held_in,5,True,1,m_sin_phi,-0.011122257448732853,0.008849530521589252
Run1_20201019,2020-10-19,Run1,source_held_in,5,True,2,modulation_magnitude,-0.44551882147789,0.00905633462007116
Run1_20201019,2020-10-19,Run1,source_held_in,5,True,3,baseline_rate,-0.43697524070739746,0.01882355872741215
Run1_20201019,2020-10-19,Run1,source_held_in,6,True,0,m_cos_phi,-1.9625495672225952,-0.16818279280811943
Run1_20201019,2020-10-19,Run1,source_held_in,6,True,1,m_sin_phi,1.4562879800796509,0.1481870064772597
Run1_20201019,2020-10-19,Run1,source_held_in,6,True,2,modulation_magnitude,1.5045814514160156,0.2241536093996217
Run1_20201019,2020-10-19,Run1,source_held_in,6,True,3,baseline_rate,2.420163869857788,0.8287642142056129
Run1_20201019,2020-10-19,Run1,source_held_in,7,True,0,m_cos_phi,-0.12121614813804626,-0.02229033228377597
Run1_20201019,2020-10-19,Run1,source_held_in,7,True,1,m_sin_phi,0.1903480738401413,0.02798008224039683
Run1_20201019,2020-10-19,Run1,source_held_in,7,True,2,modulation_magnitude,-0.20329740643501282,0.035773507574286656
Run1_20201019,2020-10-19,Run1,source_held_in,7,True,3,baseline_rate,-0.3863201439380646,0.03318324535553341
Run1_20201019,2020-10-19,Run1,source_held_in,8,True,0,m_cos_phi,0.0927843227982521,-0.005334654982384834
Run1_20201019,2020-10-19,Run1,source_held_in,8,True,1,m_sin_phi,-0.13456469774246216,-0.0028719074351934992
Run1_20201019,2020-10-19,Run1,source_held_in,8,True,2,modulation_magnitude,-0.47269684076309204,0.006058582164256254
Run1_20201019,2020-10-19,Run1,source_held_in,8,True,3,baseline_rate,-0.44664812088012695,0.01608149451412544
Run1_20201019,2020-10-19,Run1,source_held_in,9,True,0,m_cos_phi,0.0003220935177523643,-0.012660618871100145
Run1_20201019,2020-10-19,Run1,source_held_in,9,True,1,m_sin_phi,-0.16635289788246155,-0.00589034594639104
Run1_20201019,2020-10-19,Run1,source_held_in,9,True,2,modulation_magnitude,-0.40102720260620117,0.013963787894578417
Run1_20201019,2020-10-19,Run1,source_held_in,9,True,3,baseline_rate,-0.4331073760986328,0.019920019443986803
Run1_20201019,2020-10-19,Run1,source_held_in,10,True,0,m_cos_phi,0.07562242448329926,-0.006694425867161291
